 # This file contain the data for renormalised velocity
 # Momentum    Velocity
  0.744107723       1.55291808    
  0.747474730       1.54956937    
  0.750841737       1.54628456    
  0.754208744       1.54295492    
  0.757575750       1.53959548    
  0.760942757       1.53632581    
  0.764309764       1.53303909    
  0.767676771       1.52966416    
  0.771043777       1.52634418    
  0.774410784       1.52308822    
  0.777777791       1.51973808    
  0.781144798       1.51644778    
  0.784511805       1.51317763    
  0.787878811       1.50979114    
  0.791245818       1.50646520    
  0.794612765       1.50321472    
  0.797979772       1.49990594    
  0.801346779       1.49657941    
  0.804713786       1.49329400    
  0.808080792       1.48997760    
  0.811447799       1.48666620    
  0.814814806       1.48337877    
  0.818181813       1.48005068    
  0.821548820       1.47671425    
  0.824915826       1.47340703    
  0.828282833       1.47010231    
  0.831649840       1.46674132    
  0.835016847       1.46339786    
  0.838383853       1.46006966    
  0.841750860       1.45670044    
  0.845117867       1.45333326    
  0.848484874       1.45001554    
  0.851851881       1.44662082    
  0.855218828       1.44324446    
  0.858585835       1.43989539    
  0.861952841       1.43650091    
  0.865319848       1.43308258    
  0.868686855       1.42970896    
  0.872053862       1.42628622    
  0.875420868       1.42282212    
  0.878787875       1.41941917    
  0.882154882       1.41596889    
  0.885521889       1.41247749    
  0.888888896       1.40900540    
  0.892255902       1.40551841    
  0.895622909       1.40198207    
  0.898989916       1.39843416    
  0.902356923       1.39492333    
  0.905723929       1.39135206    
  0.909090936       1.38774526    
  0.912457883       1.38416207    
  0.915824890       1.38055050    
  0.919191897       1.37687671    
  0.922558904       1.37318015    
  0.925925910       1.36948407    
  0.929292917       1.36567390    
  0.932659924       1.36194146    
  0.936026931       1.35812938    
  0.939393938       1.35428107    
  0.942760944       1.35038710    
  0.946127951       1.34644246    
  0.949494958       1.34243476    
  0.952861965       1.33840799    
  0.956228971       1.33432281    
  0.959595978       1.33014214    
  0.962962985       1.32591379    
  0.966329992       1.32162404    
  0.969696999       1.31722176    
  0.973063946       1.31269264    
  0.976430953       1.30805576    
  0.979797959       1.30331421    
  0.983164966       1.29834867    
  0.986531973       1.29323363    
  0.989898980       1.28784132    
  0.993265986       1.28207719    
  0.996632993       1.27576232    
   1.00000000       1.26850128    
